Rk;Player;Age;POSITION;TEAM;GAMES_STARTED;MINUTES_PLAYED;FG_MADE;FG_ATTEMPTED;FG_PCT;3PT_MADE;3PT_ATTEMPTED;3PT_PCT;FT_MADE;FT_ATTEMPTED;FT_PCT;OFF_REB;DEF_REB;TOT_REB;AST;STL;BLK;TOV;PF;PTS;TRIP_DB;GAMES_PLAYED
58;Paolo Banchero;22;PF;ORL;46;1582;412;911;0,452250274;87;272;0,319852941;280;385;0,727272727;51;294;345;219;36;28;136;97;1191;0;46
59;Stephon Castle;20;PG;SAS;47;2162;423;988;0,428137652;95;333;0,285285285;249;344;0,723837209;89;208;297;332;74;22;177;164;1190;0;81
60;LaMelo Ball;23;PG;CHO;47;1505;406;1003;0,404785643;179;528;0,339015152;193;229;0,84279476;47;185;232;346;54;13;167;157;1184;0;47
61;CJ McCollum;33;PG;NOP;56;1832;444;1000;0,444;171;459;0,37254902;124;173;0,716763006;42;170;212;227;46;24;106;124;1183;0;56
62;Ja Morant;25;PG;MEM;50;1519;404;889;0,454443195;88;285;0,30877193;263;319;0,824451411;34;171;205;364;61;12;185;113;1159;1;50
63;Collin Sexton;26;SG;UTA;61;1758;416;867;0,479815456;110;271;0,405904059;217;251;0,864541833;60;111;171;264;47;6;160;144;1159;0;63
64;Bennedict Mathurin;22;SF;IND;49;2149;391;853;0,458382181;98;288;0,340277778;276;332;0,831325301;87;296;383;136;47;24;135;162;1156;0;72
65;Payton Pritchard;27;PG;BOS;3;2271;409;866;0,472286374;255;626;0,407348243;71;84;0,845238095;102;205;307;279;70;14;83;118;1144;0;80
66;Naz Reid;25;C;MIN;17;2200;426;923;0,461538462;175;462;0,378787879;111;143;0,776223776;92;388;480;181;58;72;108;189;1138;0;80
67;Keyonte George;21;PG;UTA;35;2109;359;919;0,390642002;174;507;0,343195266;233;285;0,81754386;26;227;253;377;46;9;183;111;1125;0;67
68;Trey Murphy III;24;SF;NOP;51;1854;381;839;0,454112038;158;438;0,360730594;204;230;0,886956522;47;221;268;188;56;39;103;112;1124;0;53
69;Myles Turner;28;C;IND;72;2174;390;811;0,480887793;156;394;0,395939086;184;238;0,773109244;90;381;471;111;54;144;123;183;1120;0;72
70;Malik Monk;26;SG;SAC;45;2054;412;939;0,438764643;139;428;0,324766355;154;178;0,865168539;30;215;245;362;61;38;159;158;1117;0;65
71;Victor Wembanyama;21;C;SAS;46;1527;408;857;0,476079347;142;403;0,35235732;158;189;0,835978836;82;424;506;168;52;176;149;105;1116;1;46
72;Jarrett Allen;26;C;CLE;82;2296;452;640;0,70625;0;5;0;199;277;0,718411552;216;582;798;158;77;73;97;127;1103;0;82
73;Quentin Grimes;24;SG;DAL;37;2013;384;823;0,466585662;162;421;0,3847981;162;214;0,757009346;59;265;324;228;74;22;141;138;1092;0;75
74;De'Andre Hunter;27;SF;ATL;9;1740;358;762;0,469816273;157;388;0,404639175;215;254;0,846456693;44;214;258;92;50;13;82;155;1088;0;64
75;Andrew Wiggins;29;SF;GSW;60;1842;376;839;0,448152563;130;348;0,373563218;196;257;0,762645914;89;180;269;158;60;50;99;101;1078;0;60
76;Dyson Daniels;21;SG;ATL;76;2571;455;923;0,492957746;80;235;0,340425532;83;140;0,592857143;124;325;449;333;229;55;155;175;1073;0;76
77;Cameron Johnson;28;PF;BRK;57;1800;355;747;0,47523427;159;408;0,389705882;201;225;0,893333333;54;193;247;194;53;25;99;104;1070;0;57
78;Dillon Brooks;29;SF;HOU;75;2388;384;895;0,429050279;186;469;0,396588486;99;121;0,818181818;75;200;275;128;60;16;76;242;1053;0;75
79;Josh Hart;29;SG;NYK;77;2897;404;770;0,524675325;84;252;0,333333333;159;205;0,775609756;161;576;737;453;119;27;158;201;1051;9;77
80;Brook Lopez;36;C;MIL;80;2546;394;774;0,509043928;139;373;0,372654155;114;138;0,826086957;113;288;401;143;50;148;84;171;1041;0;80
81;Devin Vassell;24;SG;SAS;53;1983;394;889;0,443194601;158;429;0,368298368;95;120;0,791666667;34;221;255;183;84;33;88;108;1041;0;64
82;Josh Giddey;22;PG;CHI;69;2117;371;798;0,464912281;105;278;0,377697842;175;224;0,78125;127;439;566;503;84;45;202;122;1022;7;70
83;Harrison Barnes;32;PF;SAS;82;2230;347;683;0,508052709;156;360;0,433333333;161;199;0,809045226;97;213;310;136;39;14;50;75;1011;0;82
84;Klay Thompson;34;SF;DAL;72;1965;361;877;0,411630559;216;553;0,390596745;67;74;0,905405405;44;202;246;145;50;30;88;81;1005;0;72
85;Tobias Harris;32;PF;DET;73;2305;384;805;0,477018634;91;264;0,34469697;143;166;0,861445783;65;367;432;162;74;57;85;138;1002;0;73
86;Jaden McDaniels;24;PF;MIN;82;2614;398;834;0,477218225;100;303;0,330033003;104;128;0,8125;129;341;470;163;110;74;95;225;1000;0;82
87;Russell Westbrook;36;PG;DEN;36;2092;373;831;0,448856799;94;291;0,323024055;154;233;0,660944206;102;268;370;457;106;37;242;188;994;4;75
88;Onyeka Okongwu;24;C;ATL;40;2064;388;684;0,567251462;48;148;0,324324324;164;216;0,759259259;220;440;660;168;69;68;90;193;988;0;74
89;Dennis Schröder;31;PG;BRK;49;2105;336;827;0,406287787;127;371;0,342318059;181;216;0,837962963;27;171;198;404;66;12;142;180;980;0;75
90;Keldon Johnson;25;SF;SAS;0;1838;371;770;0,481818182;87;274;0,317518248;150;194;0,773195876;112;259;371;125;49;22;77;115;979;0;77
91;Amen Thompson;22;SF;HOU;42;2225;388;697;0,556671449;25;91;0,274725275;169;247;0,684210526;192;372;564;265;97;89;138;167;970;3;69
92;Jimmy Butler;35;PF;GSW;55;1746;301;597;0,504187605;32;104;0,307692308;330;392;0,841836735;125;171;296;298;77;18;74;52;964;3;55
93;Kyle Kuzma;29;PF;MIL;62;1936;370;848;0,436320755;96;313;0,306709265;128;202;0,633663366;54;316;370;152;36;19;146;119;964;0;65
94;Keegan Murray;24;PF;SAC;76;2610;364;820;0,443902439;154;449;0,34298441;60;72;0,833333333;146;361;507;109;61;69;60;186;942;0;76
95;Zaccharie Risacher;19;SF;ATL;73;1843;357;779;0,458279846;122;344;0,354651163;106;149;0,711409396;86;182;268;92;52;37;92;149;942;0;75
96;Jalen Duren;21;C;DET;78;2034;378;546;0,692307692;0;0;;162;242;0,669421488;277;530;807;209;54;89;136;251;918;0;78
97;Naji Marshall;27;SF;DAL;31;1919;362;712;0,508426966;60;218;0,275229358;130;160;0,8125;76;252;328;208;70;11;112;109;914;0;69
98;Aaron Wiggins;26;SG;OKC;26;1744;355;728;0,487637363;130;339;0,383480826;74;89;0,831460674;81;214;295;134;60;18;69;101;914;0;76
99;Buddy Hield;32;SG;GSW;22;1863;328;786;0,417302799;203;549;0,369763206;53;64;0,828125;51;213;264;134;69;23;91;132;912;0;82
100;Kelly Oubre Jr.;29;SF;PHI;57;2078;348;741;0,469635628;71;242;0,29338843;139;185;0,751351351;97;271;368;108;92;30;80;180;906;0;60
101;Bradley Beal;31;SG;PHO;38;1702;345;694;0,497118156;102;264;0,386363636;110;137;0,802919708;34;143;177;195;58;28;99;136;902;0;53
102;Lauri Markkanen;27;PF;UTA;47;1476;296;700;0,422857143;138;399;0,345864662;162;185;0,875675676;72;206;278;70;33;17;66;79;892;0;47
103;Toumani Camara;24;PF;POR;78;2548;328;716;0,458100559;135;360;0,375;91;126;0,722222222;173;277;450;175;116;50;109;230;882;0;78
104;Ty Jerome;27;SG;CLE;3;1392;319;618;0,51618123;111;253;0,438735178;129;148;0,871621622;50;123;173;237;78;3;92;102;878;0;70
105;Spencer Dinwiddie;31;PG;DAL;30;2136;284;682;0,416422287;109;326;0,334355828;195;243;0,802469136;18;191;209;349;70;17;102;121;872;0;79
106;Alex Sarr;19;C;WAS;67;1814;326;828;0,393719807;105;341;0,307917889;112;165;0,678787879;124;311;435;161;44;101;114;146;869;0;67
107;Rudy Gobert;32;C;MIN;72;2388;341;510;0,668627451;0;0;;184;273;0,673992674;265;520;785;127;56;104;89;182;866;0;72
108;Tim Hardaway Jr.;32;SG;DET;77;2153;276;680;0,405882353;168;457;0,36761488;124;145;0,855172414;18;165;183;123;38;7;48;96;844;0;77
109;Fred VanVleet;30;PG;HOU;60;2111;287;759;0,378129117;159;461;0,344902386;111;137;0,810218978;32;189;221;333;94;25;87;140;844;0;60
110;Jonas Valanèi?nas;32;C;SAC;21;1524;345;627;0,550239234;8;37;0,216216216;145;165;0,878787879;190;437;627;164;37;46;120;181;843;0;81
111;Keon Johnson;22;SG;BRK;56;1925;303;779;0,388960205;126;401;0,314214464;107;139;0,769784173;63;234;297;175;82;30;116;209;839;0;79
112;Scoot Henderson;20;PG;POR;10;1759;287;685;0,418978102;105;297;0,353535354;158;206;0,766990291;52;146;198;335;68;13;177;181;837;0;66
113;P.J. Washington;26;PF;DAL;56;1835;301;665;0,452631579;91;239;0,380753138;143;198;0,722222222;82;360;442;131;63;60;118;131;836;0;57
114;Obi Toppin;26;PF;IND;4;1545;317;599;0,529215359;110;301;0,365448505;89;114;0,780701754;56;262;318;128;46;28;68;108;833;0;79
115;Tyus Jones;28;PG;PHO;58;2174;306;683;0,448023426;166;401;0,413965087;51;57;0,894736842;40;156;196;429;69;8;91;63;829;0;81
116;Jakob Poeltl;29;C;TOR;56;1686;363;579;0,626943005;1;3;0,333333333;97;144;0,673611111;189;358;547;158;66;71;111;176;824;0;57
117;Gary Trent Jr.;26;SG;MIL;9;1893;283;657;0,430745814;180;433;0,415704388;78;92;0,847826087;20;148;168;87;72;4;42;124;824;0;74
118;Jaylen Wells;21;SG;MEM;74;2043;287;676;0,424556213;138;392;0,352040816;111;135;0,822222222;87;181;268;135;44;8;69;146;823;0;79
119;Kristaps Porzi??is;29;C;BOS;42;1210;277;574;0,482578397;103;250;0,412;161;199;0,809045226;68;216;284;87;31;63;53;116;818;0;42
120;Duncan Robinson;30;SF;MIA;37;1785;290;663;0,437405732;190;483;0,393374741;47;53;0,886792453;18;149;167;176;40;6;86;135;817;0;74
121;Julian Champagnie;23;SF;SAS;29;1932;276;665;0,415037594;178;480;0,370833333;85;94;0,904255319;67;251;318;111;61;35;74;114;815;0;82
122;Santi Aldama;24;PF;MEM;16;1660;313;648;0,483024691;120;326;0,36809816;65;94;0,691489362;94;322;416;188;52;29;71;76;811;0;65
123;Bub Carrington;19;PG;WAS;57;2458;300;748;0,401069519;138;407;0,339066339;69;85;0,811764706;33;308;341;364;54;21;141;190;807;0;82
124;Kawhi Leonard;33;SF;LAC;37;1180;310;623;0,497592295;78;190;0,410526316;98;121;0,809917355;35;184;219;116;59;17;72;56;796;0;37
125;Georges Niang;31;PF;ATL;3;1697;286;620;0,461290323;166;409;0,405867971;46;58;0,793103448;47;225;272;111;28;14;82;201;784;0;79
126;Derrick Jones Jr.;27;SF;LAC;55;1873;310;589;0,526315789;78;219;0,356164384;83;118;0,703389831;93;170;263;60;79;33;66;153;781;0;77
127;Scotty Pippen Jr.;24;PG;MEM;21;1683;285;594;0,47979798;87;219;0,397260274;122;171;0,713450292;65;194;259;347;103;30;138;203;779;1;79
128;Gradey Dick;21;SG;TOR;54;1587;265;647;0,409582689;114;326;0,349693252;133;155;0,858064516;44;149;193;98;48;10;83;120;777;0;54
129;Caris LeVert;30;SF;ATL;3;1596;280;599;0,467445743;106;284;0,373239437;110;155;0,709677419;41;162;203;215;57;33;76;99;776;0;64
130;Rui Hachimura;26;PF;LAL;57;1869;293;576;0,508680556;102;247;0,412955466;87;113;0,769911504;79;216;295;83;45;26;49;105;775;0;59
131;Nickeil Alexander-Walker;26;SG;MIN;10;2073;270;616;0,438311688;141;370;0,381081081;92;118;0,779661017;54;211;265;223;50;34;99;139;773;0;82
132;Brice Sensabaugh;21;SF;UTA;15;1432;275;599;0,459098497;157;372;0,422043011;65;73;0,890410959;42;168;210;110;46;8;107;111;772;0;71
133;Kevin Porter Jr.;24;SG;LAC;4;1482;293;652;0,449386503;55;177;0,310734463;130;169;0,769230769;42;236;278;256;81;13;136;119;771;1;75
134;Guerschon Yabusele;29;C;PHI;43;1895;282;563;0,500888099;104;274;0,379562044;100;138;0,724637681;134;261;395;148;58;24;87;164;768;0;70
135;John Collins;27;PF;UTA;31;1220;280;531;0,527306968;59;148;0,398648649;139;164;0,847560976;89;238;327;80;39;40;103;116;758;0;40
136;Isaiah Joe;25;SG;OKC;16;1604;259;588;0,44047619;192;466;0,412017167;46;56;0,821428571;41;155;196;119;48;9;38;113;756;0;74
137;Jalen Wilson;24;PF;BRK;22;2031;246;620;0,396774194;122;362;0,337016575;135;165;0,818181818;75;195;270;145;40;5;79;164;749;0;79
138;Max Christie;21;SG;DAL;36;2127;252;590;0,427118644;115;314;0,366242038;130;152;0,855263158;38;220;258;146;64;31;88;115;749;0;78
139;Aaron Gordon;29;PF;DEN;42;1447;264;497;0,531187123;75;172;0,436046512;145;179;0,810055866;80;167;247;164;23;14;73;82;748;0;51
140;Brandin Podziemski;21;SG;GSW;33;1716;280;629;0,445151033;115;309;0,372168285;72;95;0,757894737;65;260;325;220;69;13;75;95;747;0;64
141;Zion Williamson;24;PF;NOP;30;857;288;508;0,566929134;3;13;0,230769231;158;241;0,65560166;76;140;216;159;37;27;90;82;737;2;30
142;Anthony Black;21;PG;ORL;10;1887;262;620;0,422580645;62;195;0,317948718;150;197;0,76142132;52;178;230;240;86;48;139;166;736;0;78
143;D'Angelo Russell;28;PG;BRK;36;1480;249;638;0,390282132;113;360;0,313888889;121;145;0,834482759;20;142;162;297;56;23;108;115;732;0;58
144;Bilal Coulibaly;20;SF;WAS;59;1948;263;624;0,421474359;63;224;0,28125;138;185;0,745945946;91;203;294;199;78;41;125;139;727;1;59
145;Nic Claxton;25;C;BRK;62;1882;320;568;0,563380282;5;21;0,238095238;79;154;0,512987013;157;358;515;157;62;100;87;150;724;0;70
146;Moses Moody;22;SG;GSW;34;1649;246;568;0,433098592;126;337;0,37388724;106;133;0,796992481;52;137;189;96;59;31;54;116;724;0;74
147;Donte DiVincenzo;28;SG;MIN;10;1606;250;593;0,42158516;174;438;0,397260274;49;63;0,777777778;32;196;228;225;73;17;99;114;723;0;62
148;Chris Paul;39;PG;SAS;82;2292;249;583;0,427101201;140;371;0,377358491;85;92;0,923913043;33;263;296;605;103;22;129;151;723;0;82
149;T.J. McConnell;32;PG;IND;1;1415;324;624;0,519230769;15;49;0,306122449;57;77;0,74025974;44;149;193;351;83;21;109;79;720;0;79
150;Luguentz Dort;25;SF;OKC;71;2073;258;593;0,435075885;170;413;0,411622276;33;46;0,717391304;89;204;293;115;79;39;51;208;719;0;71
151;Jonathan Kuminga;22;PF;GSW;10;1144;258;568;0,454225352;46;151;0,304635762;157;235;0,668085106;56;161;217;104;38;21;71;90;719;0;47
152;Dalton Knecht;23;SF;LAL;16;1494;257;557;0,461400359;128;340;0,376470588;64;84;0,761904762;37;179;216;66;24;8;37;93;706;0;78
153;Corey Kispert;25;SF;WAS;0;1602;255;565;0,451327434;120;330;0,363636364;75;88;0,852272727;36;145;181;103;26;14;64;98;705;0;61
154;Daniel Gafford;26;C;DAL;31;1226;283;403;0,702233251;0;0;;135;196;0,68877551;155;233;388;80;23;102;66;152;701;0;57
155;Jabari Smith Jr.;21;PF;HOU;39;1716;248;566;0,438162544;98;277;0,353790614;104;126;0,825396825;105;294;399;60;25;41;61;123;698;0;57
156;Amir Coffey;27;SG;LAC;13;1748;240;510;0,470588235;101;247;0,408906883;115;129;0,891472868;32;129;161;77;40;7;45;120;696;0;72
157;Kyle Filipowski;21;C;UTA;27;1522;260;518;0,501930502;77;220;0,35;93;143;0,65034965;112;328;440;140;48;22;102;171;690;0;72
158;Matas Buzelis;20;SF;CHI;31;1511;252;555;0,454054054;96;266;0,360902256;88;108;0,814814815;55;223;278;79;29;75;74;128;688;0;80
159;Tari Eason;23;PF;HOU;16;1420;272;559;0,486583184;63;184;0,342391304;79;104;0,759615385;128;234;362;83;97;50;65;136;686;0;57
160;Jrue Holiday;34;PG;BOS;62;1896;254;573;0,443280977;108;306;0,352941176;70;77;0,909090909;76;189;265;239;66;27;77;101;686;0;62
161;Kevin Huerter;26;SG;CHI;31;1679;257;604;0,425496689;132;391;0,337595908;35;49;0,714285714;30;175;205;156;66;23;67;121;681;0;69
162;Grayson Allen;29;SG;PHO;7;1544;219;489;0,447852761;149;350;0,425714286;93;114;0,815789474;34;160;194;137;54;19;75;95;680;0;64
163;Jalen Johnson;23;SF;ATL;36;1284;271;542;0,5;44;141;0,312056738;94;126;0,746031746;62;297;359;181;56;36;106;67;680;1;36
164;Royce O'Neale;31;SF;PHO;22;1837;241;570;0,422807018;179;441;0,405895692;19;26;0,730769231;53;296;349;163;67;34;65;151;680;0;75
165;Bobby Portis;29;PF;MIL;7;1244;277;595;0,465546218;65;178;0,365168539;61;73;0,835616438;90;321;411;104;35;26;57;94;680;0;49
