Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
28,Donovan Mitchell,28,CLE,SG,71,71,31.4,08.lut,18.cze,0.443,03.mar,08.wrz,0.368,5.0,09.lip,0.512,0.531,04.lut,05.sty,0.823,0.8,03.lip,04.maj,5.0,01.mar,0.2,02.sty,2.0,24.0,"MVP-5,CPOY-9,AS,NBA1"
29,Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.lut,0.438,02.lip,07.sie,0.349,05.lut,10.kwi,0.506,0.513,05.mar,6.0,0.881,0.6,02.lip,03.mar,03.sie,0.6,0.1,02.maj,01.sie,24.0,
30,Tyler Herro,25,MIA,SG,77,77,35.4,08.maj,17.wrz,0.472,03.mar,08.lip,0.375,05.lut,09.lut,0.565,0.563,03.lip,04.lut,0.878,0.5,04.lip,05.lut,05.maj,0.9,0.2,02.cze,01.sty,23.wrz,AS
31,Joel Embiid,30,PHI,C,19,19,30.2,07.kwi,16.cze,0.444,01.lut,04.sty,0.299,06.lut,12.maj,0.492,0.481,07.sie,08.wrz,0.882,01.wrz,06.mar,08.lut,04.maj,0.7,0.9,03.mar,02.lut,23.sie,
32,De'Aaron Fox,27,2TM,PG,62,62,36.1,08.lip,18.sie,0.463,01.wrz,06.sty,0.31,06.sie,12.cze,0.538,0.514,04.lut,05.sty,0.827,0.9,03.wrz,04.sie,06.mar,01.maj,0.4,02.sie,02.cze,23.maj,
33,De'Aaron Fox,27,SAC,PG,45,45,37.0,09.lut,19.cze,0.469,2.0,06.kwi,0.322,07.lut,13.mar,0.539,0.521,04.maj,05.maj,0.829,1.0,4.0,5.0,06.sty,01.maj,0.4,3.0,02.cze,25.0,
34,De'Aaron Fox,27,SAS,PG,17,17,34.0,07.kwi,16.maj,0.446,01.maj,05.cze,0.274,05.sie,10.wrz,0.535,0.493,03.maj,04.lut,0.819,0.5,03.sie,04.mar,06.sie,01.maj,0.3,02.kwi,02.lip,19.lip,
35,Zach LaVine,29,2TM,SF,74,74,35.2,08.kwi,16.maj,0.511,03.lut,07.lut,0.446,05.lut,09.mar,0.562,0.609,03.lut,03.wrz,0.825,0.3,4.0,04.mar,04.lut,0.8,0.2,02.sie,01.cze,23.mar,
36,Zach LaVine,29,CHI,SF,42,42,34.1,08.cze,16.wrz,0.511,03.lut,07.mar,0.446,05.kwi,09.cze,0.56,0.607,03.maj,04.mar,0.797,0.3,04.maj,04.sie,04.maj,0.9,0.2,02.wrz,01.maj,24.0,
37,Zach LaVine,29,SAC,SG,32,32,36.6,08.lut,16.0,0.511,03.lut,07.lut,0.446,5.0,08.sie,0.564,0.611,02.sie,03.lut,0.874,0.3,03.lut,03.maj,03.sie,0.6,0.1,02.lip,01.sie,22.kwi,
38,Ja Morant,25,MEM,PG,50,50,30.kwi,08.sty,17.sie,0.454,01.sie,05.lip,0.309,06.mar,12.sty,0.523,0.504,05.mar,06.kwi,0.824,0.7,03.kwi,04.sty,07.mar,01.lut,0.2,03.lip,02.mar,23.lut,
39,James Harden,35,LAC,PG,79,79,35.3,06.lip,16.kwi,0.41,3.0,08.maj,0.352,03.lip,07.wrz,0.472,0.501,06.kwi,07.mar,0.874,0.7,05.sty,05.sie,08.lip,01.maj,0.7,04.mar,02.sty,22.sie,"MVP-10,AS,NBA3"
40,Jaylen Brown,28,BOS,SF,63,63,34.3,08.lut,17.lip,0.463,01.sie,05.lip,0.324,06.kwi,12.sty,0.529,0.515,03.wrz,05.sty,0.764,01.mar,04.maj,05.sie,04.maj,01.lut,0.3,02.cze,02.kwi,22.lut,AS
41,DeMar DeRozan,35,SAC,SF,77,77,35.9,08.sty,17.0,0.477,01.sty,03.mar,0.328,7.0,13.lip,0.513,0.509,04.wrz,05.lip,0.857,0.6,03.lut,03.wrz,04.kwi,0.8,0.4,01.kwi,01.wrz,22.lut,
42,Brandon Ingram,27,NOP,SF,18,18,33.1,08.cze,18.maj,0.465,02.kwi,06.kwi,0.374,06.lut,12.sty,0.514,0.53,02.cze,03.sty,0.855,0.9,04.cze,05.cze,05.lut,0.9,0.6,03.sie,02.maj,22.lut,
43,Jaren Jackson Jr.,25,MEM,C,74,74,29.sie,8.0,16.kwi,0.488,2.0,05.mar,0.375,6.0,11.sty,0.541,0.548,04.lut,05.kwi,0.781,01.lut,04.kwi,05.cze,2.0,01.lut,01.maj,02.sty,03.maj,22.lut,"DPOY-7,AS,DEF2"
44,Norman Powell,31,LAC,SG,60,60,32.6,07.cze,15.sie,0.484,3.0,07.sty,0.418,04.cze,08.cze,0.538,0.578,03.cze,04.kwi,0.804,0.4,02.sie,03.lut,02.sty,01.lut,0.2,01.sie,01.wrz,21.sie,
45,Jalen Williams,23,OKC,SG,69,69,32.4,08.lut,16.wrz,0.484,01.sie,04.wrz,0.365,06.kwi,12.0,0.533,0.537,03.kwi,04.mar,0.789,0.9,04.maj,05.mar,05.sty,01.cze,0.7,02.lut,02.mar,21.cze,"AS,NBA3,DEF2"
46,Kawhi Leonard,33,LAC,SF,37,37,31.9,08.kwi,16.sie,0.498,02.sty,05.sty,0.411,06.mar,11.lip,0.536,0.56,02.cze,03.mar,0.81,0.9,5.0,05.wrz,03.sty,01.cze,0.5,01.wrz,01.maj,21.maj,
47,Jamal Murray,27,DEN,PG,67,67,36.1,07.wrz,16.lip,0.474,02.mar,05.wrz,0.393,05.cze,10.sie,0.518,0.543,03.mar,03.lip,0.886,0.7,03.lut,03.wrz,6.0,01.kwi,0.5,02.sty,01.wrz,21.kwi,
48,Trey Murphy III,24,NOP,SF,53,51,35.0,07.lut,15.sie,0.454,3.0,08.mar,0.361,04.lut,07.cze,0.556,0.548,03.sie,04.mar,0.887,0.9,04.lut,05.sty,03.maj,01.sty,0.7,01.wrz,02.sty,21.lut,
49,RJ Barrett,24,TOR,SF,58,58,32.2,07.wrz,16.wrz,0.468,01.sie,05.mar,0.35,06.sty,11.lip,0.522,0.523,03.kwi,05.kwi,0.63,01.sty,05.mar,06.mar,05.kwi,0.8,0.3,02.sie,02.kwi,21.sty,
50,CJ McCollum,33,NOP,PG,56,56,32.7,07.wrz,17.wrz,0.444,03.sty,08.lut,0.373,04.wrz,09.lip,0.505,0.53,02.lut,03.sty,0.717,0.8,3.0,03.sie,04.sty,0.8,0.4,01.wrz,02.lut,21.sty,
51,Jalen Green,22,HOU,SG,82,82,32.9,07.kwi,17.maj,0.423,02.wrz,08.sty,0.354,04.cze,09.maj,0.482,0.505,03.mar,04.sty,0.813,0.5,4.0,04.cze,03.kwi,0.9,0.3,02.maj,01.maj,21.0,
52,Brandon Miller,22,CHO,SF,27,27,34.2,07.mar,18.lut,0.403,03.wrz,10.wrz,0.355,03.maj,07.mar,0.475,0.509,02.maj,02.wrz,0.861,0.9,03.wrz,04.wrz,03.cze,01.sty,0.7,02.sie,02.lip,21.0,
53,Darius Garland,25,CLE,PG,75,75,30.lip,07.kwi,15.lip,0.472,02.sie,07.sty,0.401,04.cze,08.cze,0.53,0.562,3.0,03.kwi,0.878,0.6,02.lut,02.wrz,06.lip,01.lut,0.1,02.maj,01.wrz,20.cze,"CPOY-6,AS"
54,Jordan Poole,25,WAS,SG,68,68,29.kwi,06.lip,15.maj,0.432,03.maj,09.sty,0.378,03.mar,06.kwi,0.51,0.544,03.cze,4.0,0.883,0.5,02.maj,3.0,04.maj,01.mar,0.4,3.0,3.0,20.maj,
55,Coby White,24,CHI,SG,74,73,33.1,06.wrz,15.sty,0.453,02.wrz,07.wrz,0.37,03.wrz,07.mar,0.544,0.55,03.lip,04.sty,0.902,0.3,03.kwi,03.lip,04.maj,0.9,0.2,02.kwi,02.sty,20.kwi,
56,Miles Bridges,26,CHO,PF,64,64,31.lip,07.mar,17.0,0.431,02.lut,7.0,0.313,05.sty,10.0,0.513,0.495,03.maj,4.0,0.87,01.sty,06.kwi,07.maj,03.wrz,0.7,0.7,02.sty,01.maj,20.mar,
57,Austin Reaves,26,LAL,SG,73,73,34.9,06.maj,14.lut,0.46,02.lip,07.mar,0.377,03.sie,06.wrz,0.547,0.556,04.kwi,5.0,0.877,0.8,03.lip,04.maj,05.sie,01.sty,0.3,02.kwi,02.sty,20.lut,
58,Pascal Siakam,30,IND,PF,78,78,32.7,07.wrz,15.lut,0.519,01.cze,04.lut,0.389,06.lut,11.0,0.568,0.572,02.wrz,03.wrz,0.734,01.lip,05.lut,06.wrz,03.kwi,0.9,0.5,01.kwi,02.kwi,20.lut,AS
59,Kristaps Porzi??is,29,BOS,C,42,42,28.sie,06.cze,13.lip,0.483,02.maj,6.0,0.412,04.sty,07.lip,0.537,0.572,03.sie,04.lip,0.809,01.cze,05.sty,06.sie,02.sty,0.7,01.maj,01.mar,02.sie,19.maj,
60,Scottie Barnes,23,TOR,PF,65,65,32.8,07.mar,16.kwi,0.446,01.lut,04.mar,0.271,06.sty,12.0,0.508,0.482,03.maj,04.cze,0.755,01.lip,6.0,07.lip,05.sie,01.kwi,1.0,02.sie,01.lip,19.mar,
61,Anfernee Simons,25,POR,SG,70,70,32.7,06.sie,16.sty,0.426,03.sty,08.maj,0.363,03.sie,07.cze,0.496,0.521,02.maj,02.sie,0.902,0.4,02.mar,02.lip,04.sie,0.9,0.1,2.0,01.lip,19.mar,
62,Desmond Bane,26,MEM,SG,69,68,32.0,07.sty,14.sie,0.484,02.kwi,06.sty,0.392,04.sie,08.lip,0.548,0.565,02.cze,02.wrz,0.894,0.9,05.lut,06.sty,05.mar,01.lut,0.4,02.kwi,02.kwi,19.lut,
63,Domantas Sabonis,28,SAC,C,70,70,34.7,07.maj,12.sie,0.59,0.9,02.lut,0.417,06.cze,10.maj,0.627,0.627,03.sty,04.sty,0.754,03.sie,10.sty,13.wrz,6.0,0.7,0.4,02.wrz,03.mar,19.sty,
64,Alperen Şengün,22,HOU,C,76,76,31.maj,07.maj,15.0,0.496,0.3,01.lut,0.233,07.lut,13.wrz,0.519,0.505,03.wrz,05.cze,0.692,03.kwi,06.wrz,10.mar,04.wrz,01.sty,0.8,02.cze,02.sie,19.sty,AS
65,John Collins,27,UTA,PF,40,31,30.maj,7.0,13.mar,0.527,01.maj,03.lip,0.399,05.maj,09.cze,0.577,0.583,03.maj,04.sty,0.848,02.lut,6.0,08.lut,2.0,1.0,1.0,02.cze,02.wrz,19.0,
66,Lauri Markkanen,27,UTA,PF,47,47,31.4,06.mar,14.wrz,0.423,02.wrz,08.maj,0.346,03.kwi,06.kwi,0.525,0.521,03.kwi,03.wrz,0.876,01.maj,04.kwi,05.wrz,01.maj,0.7,0.4,01.kwi,01.lip,19.0,
67,Jalen Johnson,23,ATL,SF,36,36,35.7,07.maj,15.sty,0.5,01.lut,03.wrz,0.312,06.mar,11.sty,0.566,0.541,02.cze,03.maj,0.746,01.lip,08.mar,10.0,5.0,01.cze,1.0,02.wrz,01.wrz,18.wrz,
68,Cameron Johnson,28,BRK,PF,57,57,31.6,06.lut,13.sty,0.475,02.sie,07.lut,0.39,03.kwi,05.wrz,0.578,0.582,03.maj,03.wrz,0.893,0.9,03.kwi,04.mar,03.kwi,0.9,0.4,01.lip,01.sie,18.sie,
69,Julius Randle,30,MIN,PF,69,69,32.3,06.cze,13.cze,0.485,01.cze,04.cze,0.344,5.0,09.sty,0.555,0.542,03.wrz,04.wrz,0.806,02.sty,5.0,07.sty,04.lip,0.7,0.2,02.sie,02.maj,18.lip,
70,Tyrese Haliburton,24,IND,PG,73,73,33.6,06.maj,13.sie,0.473,3.0,07.lip,0.388,03.maj,06.sty,0.581,0.582,02.cze,3.0,0.851,0.6,3.0,03.maj,09.lut,01.kwi,0.7,01.cze,01.mar,18.cze,NBA3
71,Evan Mobley,23,CLE,PF,71,71,30.maj,07.sty,12.sie,0.557,01.lut,03.lut,0.37,05.wrz,09.maj,0.621,0.604,03.sty,04.mar,0.725,02.mar,7.0,09.mar,03.lut,0.9,01.cze,2.0,2.0,18.maj,"MVP-10,DPOY-1,AS,NBA2,DEF1"
72,Shaedon Sharpe,21,POR,SG,72,52,31.mar,06.wrz,15.mar,0.452,2.0,06.cze,0.311,04.wrz,08.sie,0.557,0.519,02.cze,03.kwi,0.785,0.9,03.cze,04.maj,02.sie,0.9,0.2,02.sty,01.lip,18.maj,
73,Nikola Vučević,34,CHI,C,73,72,31.2,07.maj,14.lut,0.53,01.sie,04.kwi,0.402,05.sie,09.sie,0.587,0.592,01.cze,2.0,0.805,02.kwi,07.cze,10.sty,03.maj,0.8,0.7,01.cze,02.lut,18.maj,
74,Collin Sexton,26,UTA,SG,63,61,27.wrz,06.cze,13.sie,0.48,01.lip,04.mar,0.406,04.wrz,09.maj,0.513,0.543,03.kwi,4.0,0.865,1.0,01.sie,02.lip,04.lut,0.7,0.1,02.maj,02.mar,18.kwi,
75,Michael Porter Jr.,26,DEN,SF,77,77,33.7,06.wrz,13.cze,0.504,02.maj,06.kwi,0.395,04.kwi,07.mar,0.599,0.596,01.wrz,02.maj,0.768,01.sie,05.lut,7.0,02.sty,0.6,0.5,01.kwi,2.0,18.lut,
76,Bam Adebayo,27,MIA,C,78,78,34.3,06.wrz,14.mar,0.485,1.0,02.sie,0.357,05.wrz,11.kwi,0.517,0.521,03.lut,04.lut,0.765,02.kwi,07.lut,09.cze,04.mar,01.mar,0.7,02.sty,02.sty,18.sty,DPOY-10
77,Andrew Wiggins,29,2TM,SF,60,60,30.lip,06.mar,14.0,0.448,02.lut,05.sie,0.374,04.sty,08.lut,0.501,0.526,03.mar,04.mar,0.763,01.maj,3.0,04.maj,02.cze,1.0,0.8,01.lip,01.lip,18.0,
78,Andrew Wiggins,29,GSW,SF,43,43,30.sty,06.sty,13.lip,0.444,02.lut,05.sie,0.379,03.wrz,07.wrz,0.491,0.524,03.lut,04.lut,0.777,01.maj,3.0,04.cze,02.kwi,0.9,0.8,01.mar,01.cze,17.cze,
79,Andrew Wiggins,29,MIA,SF,17,17,32.1,06.sie,14.sie,0.458,02.sty,05.wrz,0.36,04.cze,08.wrz,0.523,0.53,03.kwi,04.cze,0.731,01.kwi,02.wrz,04.lut,03.mar,01.lut,1.0,02.maj,01.sie,19.0,
80,OG Anunoby,27,NYK,PF,74,74,36.6,06.cze,13.wrz,0.476,02.mar,06.lut,0.372,04.mar,07.lip,0.561,0.559,02.maj,03.sty,0.81,01.mar,03.maj,04.sie,02.lut,01.maj,0.9,01.kwi,02.mar,18.0,
81,Mikal Bridges,28,NYK,SF,82,82,37.0,07.lut,14.kwi,0.5,2.0,05.cze,0.354,05.lut,08.sie,0.594,0.57,01.lut,01.kwi,0.814,0.9,02.mar,03.lut,03.lip,0.9,0.5,01.cze,01.maj,17.cze,
82,Jaden Ivey,22,DET,SG,30,30,29.wrz,06.mar,13.sie,0.46,02.sty,05.sty,0.409,04.lut,08.cze,0.49,0.536,02.sie,03.wrz,0.733,01.mar,02.sie,04.sty,4.0,0.9,0.4,3.0,02.lut,17.cze,
83,Jimmy Butler,35,2TM,SF,55,55,31.lip,05.maj,10.wrz,0.504,0.6,01.wrz,0.308,04.wrz,9.0,0.546,0.531,6.0,07.sty,0.842,02.mar,03.sty,05.kwi,05.kwi,01.kwi,0.3,01.mar,0.9,17.maj,
84,Jimmy Butler,35,MIA,PF,25,25,30.cze,05.lip,10.maj,0.54,0.5,01.kwi,0.361,05.lut,09.sty,0.568,0.565,05.lut,06.kwi,0.801,02.lut,3.0,05.lut,04.sie,01.sty,0.4,01.lut,0.9,17.0,
85,Jimmy Butler,35,GSW,SF,30,30,32.7,05.mar,11.sty,0.476,0.6,02.mar,0.279,04.lip,08.wrz,0.526,0.504,06.lip,07.lip,0.87,02.mar,03.lut,05.maj,05.wrz,01.lip,0.3,01.maj,1.0,17.wrz,
86,Dejounte Murray,28,NOP,PG,31,31,32.6,06.mar,15.wrz,0.393,01.lip,05.cze,0.299,04.cze,10.mar,0.444,0.445,03.mar,4.0,0.823,0.5,05.wrz,06.maj,07.kwi,2.0,0.4,03.kwi,2.0,17.maj,
87,Malik Monk,26,SAC,SG,65,45,31.6,06.mar,14.kwi,0.439,02.sty,06.cze,0.325,04.lut,07.wrz,0.534,0.513,02.kwi,02.lip,0.865,0.5,03.mar,03.sie,05.cze,0.9,0.6,02.kwi,02.kwi,17.lut,
88,Immanuel Quickley,25,TOR,PG,33,33,27.sie,05.cze,13.mar,0.42,02.cze,06.sie,0.378,3.0,06.maj,0.465,0.517,03.kwi,03.wrz,0.867,0.5,03.sty,03.maj,05.sie,0.7,0.1,01.sie,01.sie,17.sty,
89,De'Andre Hunter,27,2TM,SF,64,9,27.lut,05.cze,11.wrz,0.47,02.maj,06.sty,0.405,03.sty,05.sie,0.537,0.573,03.kwi,4.0,0.846,0.7,03.mar,4.0,01.kwi,0.8,0.2,01.mar,02.kwi,17.0,6MOY-4
90,De'Andre Hunter,27,ATL,SF,37,4,28.sie,06.sty,13.mar,0.461,02.cze,06.lip,0.393,03.maj,06.cze,0.531,0.56,04.sty,04.sie,0.858,0.7,03.lut,03.wrz,01.maj,0.8,0.1,01.cze,02.kwi,19.0,
91,De'Andre Hunter,27,CLE,SF,27,5,25.0,04.wrz,10.0,0.485,02.lut,05.lut,0.426,02.cze,04.sie,0.55,0.596,02.kwi,02.wrz,0.821,0.6,03.cze,04.lut,01.mar,0.7,0.3,0.9,02.maj,14.mar,
92,Bradley Beal,31,PHO,SG,53,38,32.1,06.maj,13.sty,0.497,01.wrz,5.0,0.386,04.cze,08.sty,0.565,0.571,02.sty,02.cze,0.803,0.6,02.lip,03.mar,03.lip,01.sty,0.5,01.wrz,02.cze,17.0,
93,Deni Avdija,24,POR,SF,72,54,30.0,05.cze,11.lip,0.476,01.lip,04.sie,0.365,03.sie,7.0,0.552,0.55,4.0,05.lut,0.78,01.maj,05.lip,07.mar,03.wrz,1.0,0.5,02.lip,02.kwi,16.wrz,
