Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
94,Keyonte George,21,UTA,PG,67,35,31.maj,05.kwi,13.lip,0.391,02.cze,07.cze,0.343,02.sie,06.sty,0.449,0.485,03.maj,04.mar,0.818,0.4,03.kwi,03.sie,05.cze,0.7,0.1,02.lip,01.lip,16.sie,
95,Ivica Zubac,27,LAC,C,80,80,32.8,07.kwi,11.sie,0.628,0.0,0.0,,07.kwi,11.sie,0.628,0.628,2.0,3.0,0.661,03.sie,08.wrz,12.cze,02.lip,0.7,01.sty,01.cze,02.sty,16.sie,"DPOY-6,DEF2"
96,Derrick White,30,BOS,SG,76,76,33.9,05.cze,12.cze,0.442,03.maj,09.sty,0.384,02.sty,03.maj,0.593,0.58,01.sie,02.sty,0.839,0.9,03.cze,04.maj,04.sie,0.9,01.sty,01.lip,01.sie,16.kwi,DPOY-10
97,Malik Beasley,28,DET,SG,82,18,27.sie,05.cze,13.sty,0.43,03.wrz,09.mar,0.416,01.lip,03.lip,0.466,0.579,01.lut,01.lip,0.679,0.6,2.0,02.cze,01.lip,0.9,0.1,1.0,01.maj,16.mar,6MOY-2
98,Devin Vassell,24,SAS,SG,64,53,31.0,06.lut,13.wrz,0.443,02.maj,06.lip,0.368,03.lip,07.lut,0.513,0.532,01.maj,01.wrz,0.792,0.5,03.maj,4.0,02.wrz,01.mar,0.5,01.kwi,01.lip,16.mar,
99,Jordan Clarkson,32,UTA,SG,37,9,26.0,05.kwi,13.mar,0.408,02.mar,06.mar,0.362,03.lut,07.sty,0.448,0.493,03.sty,03.wrz,0.797,0.7,02.maj,03.lut,03.lip,0.8,0.2,02.mar,01.kwi,16.lut,
100,Paul George,34,PHI,PF,41,41,32.5,6.0,13.wrz,0.43,02.mar,06.maj,0.358,03.cze,07.kwi,0.493,0.514,01.wrz,02.kwi,0.814,0.6,04.sie,05.mar,04.mar,01.sie,0.5,02.cze,02.maj,16.lut,
101,Jalen Suggs,23,ORL,PG,35,35,28.cze,05.cze,13.lip,0.41,02.lut,06.wrz,0.314,03.maj,06.sie,0.506,0.489,02.sie,03.sty,0.882,0.7,03.kwi,4.0,03.lip,01.maj,0.9,02.wrz,02.sie,16.lut,
102,Bennedict Mathurin,22,IND,SF,72,49,29.sie,05.kwi,11.sie,0.458,01.kwi,4.0,0.34,04.sty,07.sie,0.519,0.516,03.sie,04.cze,0.831,01.lut,04.sty,05.mar,01.wrz,0.7,0.3,01.wrz,02.mar,16.sty,
103,Myles Turner,28,IND,C,72,72,30.2,05.kwi,11.mar,0.481,02.lut,05.maj,0.396,03.mar,05.sie,0.561,0.577,02.cze,03.mar,0.773,01.mar,05.mar,06.maj,01.maj,0.8,2.0,01.lip,02.maj,15.cze,
104,Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.kwi,0.58,01.sty,02.sie,0.397,04.wrz,07.cze,0.648,0.634,02.lut,02.lip,0.827,01.lut,03.wrz,05.lut,02.cze,01.sty,0.5,1.0,02.lut,15.kwi,
105,Jonathan Kuminga,22,GSW,PF,47,10,24.mar,05.maj,12.sty,0.454,1.0,03.lut,0.305,04.maj,08.wrz,0.508,0.495,03.mar,5.0,0.668,01.lut,03.kwi,04.cze,02.lut,0.8,0.4,01.maj,01.wrz,15.mar,
106,Jared McCain,20,PHI,SG,23,8,25.lip,05.maj,11.wrz,0.46,02.lut,05.sie,0.383,03.mar,06.sty,0.532,0.553,02.sty,02.kwi,0.875,0.6,01.wrz,02.kwi,02.cze,0.7,0.0,01.cze,01.cze,15.mar,ROY-7
107,Mark Williams,23,CHO,C,44,41,26.cze,06.sty,10.lut,0.604,0.0,0.1,0.0,06.sty,10.sty,0.609,0.604,3.0,03.lip,0.804,3.0,07.lut,10.lut,02.maj,0.7,01.lut,01.cze,02.kwi,15.mar,
